id,pop,lat,lon,sex,coat
6420,3,-38.716825,177.283116,M,Bl
6429,3,-38.716761,177.283146,F,Bl
6435,3,-38.898112,177.21617,F,Gr
6436,3,-38.891556,177.221799,F,Bl
6451,3,-38.813548,177.168066,F,Bl
6465,3,-38.892081,177.231766,F,Bl
6468,3,-38.891591,177.223786,M,Br
6478,3,-38.897377,177.21481,M,Br
6480,3,-38.892547,177.236745,M,Bl
6483,3,-38.892716,177.234367,F,Br
6486,3,-38.897233,177.216036,M,Bl
6495,3,-38.896388,177.223314,F,Br
6498,3,-38.894221,177.232184,M,Gr
6831,3,-38.938246,177.287376,M,Br
6836,3,-38.944905,177.275219,M,B
6841,3,-38.951533,177.278846,F,Bl
6849,3,-38.945764,177.275641,M,Bl
6851,3,-38.950028,177.273985,F,Bl
